"","Id","Elevation","Aspect","Slope","Hillshade_9am","Hillshade_Noon","Hillshade_3pm","Cover_Type","wild","soil","h_fire","h_water","h_road","v_water"
"1",1,2596,51,3,221,232,148,"5","1","29",6279,258,510,0
"2",2,2590,56,2,220,235,151,"5","1","29",6225,212,390,-6
"3",3,2804,139,9,234,238,135,"2","1","12",6121,268,3180,65
"4",4,2785,155,18,238,238,122,"2","1","30",6211,242,3090,118
"5",5,2595,45,2,220,234,150,"5","1","29",6172,153,391,-1
"6",6,2579,132,6,230,237,140,"2","1","29",6031,300,67,-15
"7",7,2606,45,7,222,225,138,"5","1","29",6256,270,633,5
"8",8,2605,49,4,222,230,144,"5","1","29",6228,234,573,7
"9",9,2617,45,9,223,221,133,"5","1","29",6244,240,666,56
"10",10,2612,59,10,228,219,124,"5","1","29",6230,247,636,11
"11",11,2612,201,4,218,243,161,"5","1","18",6222,180,735,51
"12",12,2886,151,11,234,240,136,"2","1","30",4051,371,5253,26
"13",13,2742,134,22,248,224,92,"2","1","30",6091,150,3215,69
"14",14,2609,214,7,213,247,170,"5","1","18",6211,150,771,46
"15",15,2503,157,4,224,240,151,"5","1","18",5600,67,674,4
"16",16,2495,51,7,224,225,137,"5","1","16",5576,42,752,2
"17",17,2610,259,1,216,239,161,"5","1","29",6096,120,607,-1
"18",18,2517,72,7,228,227,133,"5","1","18",5607,85,595,6
"19",19,2504,0,4,214,232,156,"5","1","18",5572,95,691,5
"20",20,2503,38,5,220,228,144,"5","1","18",5555,85,741,10
"21",21,2501,71,9,230,223,126,"5","1","18",5547,60,767,8
"22",22,2880,209,17,206,253,179,"2","1","30",4323,216,4986,30
"23",23,2768,114,23,252,209,71,"5","1","30",5972,192,3339,82
"24",24,2511,54,8,225,222,130,"5","1","18",5569,124,638,0
"25",25,2507,22,9,215,221,143,"5","1","18",5534,120,732,14
"26",26,2492,135,6,229,237,142,"5","1","18",5494,0,860,0
"27",27,2489,163,10,230,243,145,"5","1","18",5486,30,849,-4
